ano,EXPO_TOT_2004,EXPO_AGROP_2004,EXPO_INDUST_2004,EXPO_CAUCHO_2004
1966,6333634.22,5675922.71,657711.52,2077.04
1967,5835217.42,5254582.56,580634.86,4467.94
1968,4558947.98,3685459.82,873488.16,10769.84
1969,5175646.33,4350920.16,824726.17,24872.42
1970,4184635.1,3341704.72,842930.38,21749.05
1971,4322811.98,3394203.42,928608.56,13193.28
1972,4298510.74,3289516.91,1008993.83,16712.47
1973,5016985.22,3408794.66,1608190.56,26719.03
1974,4823621.97,2999981,1823640.96,25821.38
1975,3936228.16,2550241,1385987.16,5126.76
1976,5751513.91,3986213.1,1765300.8,4947.44
1977,7911668.35,5598341.72,2313326.63,11761.94
1978,8825240.84,6278163.92,2547076.92,19438.63
1979,8284130.2,6182234.65,2101895.55,10599.03
1980,7301979.81,5004315.33,2297664.48,9499.69
1981,8309646.82,5772686.73,2536960.1,18328.74
1982,8349587.37,5594525.69,2755061.68,21041.44
1983,8945548.68,6732292.6,2213256.08,25791.07
1984,8645818.76,6466933.73,2178885.03,26671.35
1985,10692657.94,7270273.81,3357164.58,42033.71
1986,9234882.99,6583697.4,2651185.6,32603.53
1987,8469049.96,5871082.71,2597967.26,44573.35
1988,10507660.29,7029777.93,3477882.37,62820.34
1989,9599870.25,6149584.93,4421599.01,70651.78
1990,12774442.54,8156087.72,4618354.81,74385.85
1991,14041339.31,9009344.75,5031994.56,42823.18
1992,14229693.86,8781104.95,5448588.91,38155.25
1993,15273975.87,8413083.69,6860892.17,51914.21
1994,17774332.13,8892060.06,8882272.08,77905.39
1995,22333872.33,10957599.41,11376272.92,106733.3
1996,24123512.59,11488484.34,12635028.26,106625.88
1997,26787794.51,12505843.91,14281950.6,110066.6
1998,30077471.1,13864217.47,16213253.63,153670.73
1999,30919091.32,15400495.98,15518595.34,158643.05
2000,30214223,14014058.8,16200164.2,174232.99
2001,32538888.27,14901041.6,17637846.67,163576.24
2002,33037756.42,15546037.13,17491719.29,196914.62
2003,29561302.25,16662591.17,12898711.07,177336.49
2004,34595421.1,16518689.04,18076732.06,191326.21
2005,39284015.85,20113944.81,19170071.04,248640.99
2006,42161153.07,20829332.9,21331820.17,256176.14
2007,45201832.96,23396056.38,21805776.59,246705.45
2008,46322220.16,22376179.59,23946040.58,235655.17
2009,41101783.73,18858047.84,22243735.89,219977.11
2010,48130256.16,22377368.09,25752888.06,211842.28
2011,43875258.46,17781918.28,26093340.18,181930.97
2012,47119688.93,21031750.16,26087938.77,168444.99
2013,43736832.86,20082205.71,23654627.15,168033.46
2014,40638155.95,19635028.13,21003127.81,162490.77
2015,39194309.04,21481733.28,17712575.76,113737.11
2016,39735307.41,23456196.94,16279110.47,142644.89
